id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	google_product_category	item_group_id	color	size	gender	age_group	expiration_date
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_0	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_ae8966c2065c4ebd95087fbc31540ea9~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	White	XS	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_1	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_bda0d91a55a249f6a36f46eabd7f675f~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Dusty Rose	XS	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_2	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_c9f0b0f46b1440108d01db24fc8ea452~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Baby Blue	XS	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_3	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_c4234afa5f99437e8a1d19ad9c1116c6~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Sport Grey	XS	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_4	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_8321aa59bae747f58db9287961d98715~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Athletic Heather	XS	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_5	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_ae8966c2065c4ebd95087fbc31540ea9~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	White	S	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_6	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_bda0d91a55a249f6a36f46eabd7f675f~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Dusty Rose	S	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_7	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_c9f0b0f46b1440108d01db24fc8ea452~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Baby Blue	S	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_8	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_c4234afa5f99437e8a1d19ad9c1116c6~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Sport Grey	S	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_9	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_8321aa59bae747f58db9287961d98715~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Athletic Heather	S	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_10	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_ae8966c2065c4ebd95087fbc31540ea9~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	White	M	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_11	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_bda0d91a55a249f6a36f46eabd7f675f~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Dusty Rose	M	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_12	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_c9f0b0f46b1440108d01db24fc8ea452~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Baby Blue	M	female	adult	2026-04-22
3b3e494c-0cbd-4b4f-b37d-5d71220e1910_13	Lake Erie Loot Crew Floral Skull Tee	Lake Erie Loot Crew Floral Skull Tee	https://www.lakeerieclothing.com/product-page/lake-erie-loot-crew-floral-skull-tee	https://static.wixstatic.com/media/e35453_c4234afa5f99437e8a1d19ad9c1116c6~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	3b3e494c-0cbd-4b4f-b37d-5d71220e1910	Sport Grey	M	female	adult	2026-04-22
